Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
255.746	8.281	0.0000	8.507	270.627	0.000	270.627	0.000
256.746	8.287	0.0000	8.540	270.814	0.000	270.814	0.000
257.744	8.293	0.0000	8.573	271.023	0.000	271.023	0.000
258.743	8.301	0.0000	8.607	271.265	0.000	271.265	0.000
259.743	8.307	0.0000	8.640	271.480	0.000	271.480	0.000
260.742	8.313	0.0000	8.673	271.680	0.000	271.680	0.000
261.741	8.320	0.0000	8.707	271.882	0.000	271.882	0.000
262.74	8.327	0.0000	8.740	272.111	0.000	272.111	0.000
263.739	8.333	0.0000	8.773	272.320	0.000	272.320	0.000
264.737	8.339	0.0000	8.806	272.526	0.000	272.526	0.000
265.736	8.346	0.0000	8.840	272.732	0.000	272.732	0.000
266.736	8.351	0.0000	8.873	272.915	0.000	272.915	0.000
267.733	8.357	0.0000	8.906	273.108	0.000	273.108	0.000
268.734	8.363	0.0000	8.940	273.310	0.000	273.310	0.000
269.732	8.370	0.0000	8.973	273.523	0.000	273.523	0.000
270.73	8.376	0.0000	9.006	273.732	0.000	273.732	0.000
271.73	8.382	0.0000	9.040	273.931	0.000	273.931	0.000
272.73	8.388	0.0000	9.073	274.118	0.000	274.118	0.000
273.729	8.394	0.0000	9.106	274.307	0.000	274.307	0.000
274.728	8.400	0.0000	9.139	274.523	0.000	274.523	0.000
275.727	8.406	0.0000	9.173	274.719	0.000	274.719	0.000
276.725	8.412	0.0000	9.206	274.889	0.000	274.889	0.000
277.723	8.417	0.0000	9.239	275.072	0.000	275.072	0.000
278.724	8.423	0.0000	9.273	275.275	0.000	275.275	0.000
279.722	8.429	0.0000	9.306	275.461	0.000	275.461	0.000
280.721	8.434	0.0000	9.339	275.624	0.000	275.624	0.000
281.721	8.440	0.0000	9.373	275.804	0.000	275.804	0.000
